scenario_id,category,datasets_json,omega,K,N_min,method,ci_low,ci_high,ci_width,clipped,valid,runtime_ms,width_ratio_vs_sim,jaccard_vs_sim,overlap_vs_sim,endpoint_abs_err_vs_sim,center_abs_err_vs_sim
29,single,"[[134, 150, 59]]",1.0,1704,225,Established CI #2,297.0,406.0,109.0,False,True,2.799800015054643,1.0480769230769231,0.9541284403669725,104.0,5.0,1.5
30,single,"[[180, 152, 35]]",1.0,3909,297,Simulation (reference),609.0,1048.0,439.0,False,True,1317.4132000422105,1.0,1.0,439.0,0.0,0.0
30,single,"[[180, 152, 35]]",1.0,3909,297,ehp CI,612.0,1050.0,438.0,False,True,1.7985999584197998,0.9977220956719818,0.9886621315192744,436.0,5.0,2.5
30,single,"[[180, 152, 35]]",1.0,3909,297,Established CI #1,596.8049643331307,988.9463020125813,392.14133767945066,False,True,0.18930004443973303,0.8932604502948762,0.8420888351553295,379.9463020125813,71.248733654288,35.62436682714406
30,single,"[[180, 152, 35]]",1.0,3909,297,Established CI #2,609.0,1056.0,447.0,False,True,2.8571001021191478,1.0182232346241458,0.9821029082774049,439.0,8.0,4.0
31,single,"[[77, 173, 71]]",1.0,1000,179,Simulation (reference),181.0,200.0,19.0,False,True,260.8071999857202,1.0,1.0,19.0,0.0,0.0
31,single,"[[77, 173, 71]]",1.0,1000,179,ehp CI,181.0,200.0,19.0,False,True,0.5213000113144517,1.0,1.0,19.0,0.0,0.0
31,single,"[[77, 173, 71]]",1.0,1000,179,Established CI #1,179.0,196.9108618734194,17.910861873419407,False,True,0.18890004139393568,0.9426769407062846,0.7576600892104479,15.910861873419407,5.089138126580593,2.5445690632902824
31,single,"[[77, 173, 71]]",1.0,1000,179,Established CI #2,181.0,202.0,21.0,False,True,2.4632998974993825,1.105263157894737,0.9047619047619048,19.0,2.0,1.0
32,single,"[[134, 104, 85]]",1.0,1000,153,Simulation (reference),157.0,175.0,18.0,False,True,295.46459997072816,1.0,1.0,18.0,0.0,0.0
32,single,"[[134, 104, 85]]",1.0,1000,153,ehp CI,157.0,175.0,18.0,False,True,0.5136999534443021,1.0,1.0,18.0,0.0,0.0
32,single,"[[134, 104, 85]]",1.0,1000,153,Established CI #1,155.18556998792909,172.94662848879372,17.761058500864635,False,True,0.1762000611051917,0.9867254722702575,0.8047987491479222,15.94662848879372,3.867801523277194,1.933900761638597
32,single,"[[134, 104, 85]]",1.0,1000,153,Established CI #2,156.0,176.0,20.0,False,True,4.653500043787062,1.1111111111111112,0.9,18.0,2.0,0.0
33,single,"[[7, 71, 2]]",1.0,1243,76,Simulation (reference),114.0,1098.0,984.0,False,True,429.70650002826005,1.0,1.0,984.0,0.0,0.0
33,single,"[[7, 71, 2]]",1.0,1243,76,ehp CI,116.0,1100.0,984.0,False,True,0.9728000732138753,1.0,0.9959432048681541,982.0,4.0,2.0
33,single,"[[7, 71, 2]]",1.0,1243,76,Established CI #1,89.10995122176952,409.39310929717703,320.2831580754075,False,True,0.1818999880924821,0.32549101430427596,0.29279019022429564,295.39310929717703,713.4969394810535,356.74846974052673
33,single,"[[7, 71, 2]]",1.0,1243,76,Established CI #2,102.0,1243.0,1141.0,False,True,1.3368999352678657,1.1595528455284554,0.8624014022787029,984.0,157.0,66.5
34,single,"[[194, 156, 69]]",1.0,2194,281,Simulation (reference),384.0,514.0,130.0,False,True,713.5664999950677,1.0,1.0,130.0,0.0,0.0
34,single,"[[194, 156, 69]]",1.0,2194,281,ehp CI,385.0,513.0,128.0,False,True,0.9733999613672495,0.9846153846153847,0.9846153846153847,128.0,2.0,0.0
34,single,"[[194, 156, 69]]",1.0,2194,281,Established CI #1,379.74896002555954,501.403759235136,121.65479920957648,False,True,0.19620009697973728,0.9358061477659729,0.874509123039107,117.40375923513602,16.847280739304438,8.423640369652219
